loss,params,iteration,estimators,train_time
0.2590399239628164,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.8464791720356762, 'learning_rate': 0.10875645732896141, 'min_child_samples': 380, 'num_leaves': 110, 'reg_alpha': 0.0, 'reg_lambda': 0.1, 'subsample_for_bin': 160000, 'subsample': 0.7153773885862027}",19,560,2199.6036134259994
0.2686222198534626,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6048404419661536, 'learning_rate': 0.06644368221542607, 'min_child_samples': 80, 'num_leaves': 70, 'reg_alpha': 0.8, 'reg_lambda': 0.6000000000000001, 'subsample_for_bin': 280000, 'subsample': 1.0}",20,16,21.24197516300046
0.26691253799268355,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.9833855786330179, 'learning_rate': 0.12887048029187476, 'min_child_samples': 320, 'num_leaves': 40, 'reg_alpha': 0.1, 'reg_lambda': 0.30000000000000004, 'subsample_for_bin': 80000, 'subsample': 0.9769094329472903}",22,97,59.973799792001955
0.25081722798867134,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6506122597640451, 'learning_rate': 0.027283160055263118, 'min_child_samples': 300, 'num_leaves': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.9, 'subsample_for_bin': 120000, 'subsample': 0.9874974302333217}",23,413,94.76113546199485
0.25171638841143573,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6987317326936047, 'learning_rate': 0.010511971637410328, 'min_child_samples': 280, 'num_leaves': 30, 'reg_alpha': 0.1, 'reg_lambda': 0.30000000000000004, 'subsample_for_bin': 40000, 'subsample': 0.5618800479279589}",24,2354,2414.3981862449946
0.2524982937528406,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6338198269370293, 'learning_rate': 0.013773352502800984, 'min_child_samples': 340, 'num_leaves': 50, 'reg_alpha': 0.6000000000000001, 'reg_lambda': 0.9, 'subsample_for_bin': 80000, 'subsample': 0.8573529181345064}",25,679,140.66818631000206
0.2564570669722367,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6035028343607675, 'learning_rate': 0.13333373103052773, 'min_child_samples': 240, 'num_leaves': 40, 'reg_alpha': 0.2, 'reg_lambda': 0.4, 'subsample_for_bin': 120000, 'subsample': 0.88486163547104}",26,64,39.77435398299713
0.25880839251531185,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.7130094821060494, 'learning_rate': 0.074546197075462, 'min_child_samples': 360, 'num_leaves': 80, 'reg_alpha': 0.4, 'reg_lambda': 0.30000000000000004, 'subsample_for_bin': 40000, 'subsample': 0.9989389785143052}",27,675,1592.0305221140006
0.2520588725592523,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.9516760268987311, 'learning_rate': 0.027878828224994087, 'min_child_samples': 260, 'num_leaves': 50, 'reg_alpha': 0.4, 'reg_lambda': 0.8, 'subsample_for_bin': 200000, 'subsample': 0.728110481982464}",28,1095,2840.997351158003
0.2492773773093554,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6017372593400206, 'learning_rate': 0.026190811155923296, 'min_child_samples': 280, 'num_leaves': 30, 'reg_alpha': 0.0, 'reg_lambda': 0.2, 'subsample_for_bin': 80000, 'subsample': 0.6758899804456189}",29,319,86.37119366700063
0.2576689791682396,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6398712300147936, 'learning_rate': 0.15723852431687516, 'min_child_samples': 200, 'num_leaves': 90, 'reg_alpha': 0.6000000000000001, 'reg_lambda': 0.5, 'subsample_for_bin': 120000, 'subsample': 0.62683455279268}",30,131,1044.2340963250026
0.25400463684694397,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6668665139637558, 'learning_rate': 0.014797969044880817, 'min_child_samples': 160, 'num_leaves': 60, 'reg_alpha': 0.1, 'reg_lambda': 0.8, 'subsample_for_bin': 40000, 'subsample': 0.8811359711544854}",31,534,243.9609191960044
